,revision_id,article_quality_est
0,355319463,Stub
1,393276188,Stub
2,393822005,Stub
3,395521877,Stub
4,395526568,Stub
5,401577829,Stub
6,442937236,Stub
7,448555418,Stub
8,470173494,Start
9,477962574,Stub
10,492060822,Stub
11,492964343,Stub
12,498683267,Stub
13,502721672,C
14,521986779,Stub
15,532253442,Stub
16,543225630,Stub
17,545936100,Stub
18,546364151,Start
19,549300521,Stub
20,550953646,Stub
21,559553872,Stub
22,559788982,Stub
23,560758943,Stub
24,561744402,Stub
25,564873005,Stub
26,565745353,Stub
27,565745365,Stub
28,565745375,Stub
29,566504165,Stub
30,573710096,B
31,574571582,Stub
32,576988466,Stub
33,585894477,Stub
34,592289232,Stub
35,595693452,Start
36,596181202,Start
37,598819900,Start
38,601122766,Stub
39,601127343,Start
40,614786300,Start
41,623004627,Stub
42,623334577,Stub
43,624468970,Stub
44,625509885,Start
45,626606789,Stub
46,627001041,Stub
47,627051151,Stub
48,627432937,Stub
49,628261896,Stub
50,628268705,Stub
51,628270736,Stub
52,628312759,Stub
53,628379479,Stub
54,628563978,Stub
55,628619000,Stub
56,628766656,Stub
57,628988952,Stub
58,629562076,Stub
59,629818376,Stub
60,630396351,Stub
61,630396786,Stub
62,630704768,Stub
63,631437331,Stub
64,631581752,Start
65,632008524,Start
66,632261377,Stub
67,632447328,Stub
68,633612729,Start
69,634032715,B
70,635240253,Stub
71,635814126,Stub
72,637801253,Stub
73,638214719,Stub
74,638362866,Stub
75,638377138,Stub
76,638566016,Start
77,638571205,Stub
78,638599355,Start
79,639021339,Stub
80,639061161,Start
81,639471171,Stub
82,640014648,Stub
83,640214913,Stub
84,640826254,Stub
85,641422326,Stub
86,643410335,Start
87,643746000,Stub
88,643932216,Start
89,643932220,Start
90,643932225,Start
91,643932226,Start
92,643932239,Start
93,643932242,Start
94,644024203,Stub
95,644041882,Stub
96,644399375,Stub
97,645225697,Start
98,645408814,Stub
99,647367482,Start
100,647450883,Stub
101,647483021,Stub
102,647832959,Stub
103,647893858,Stub
104,648048611,Stub
105,648271473,Stub
106,650458255,Stub
107,650462344,Stub
108,650494773,Stub
109,651250302,Stub
110,651785828,Stub
111,651856758,Stub
112,653467222,Stub
113,653527941,Stub
114,653895210,Stub
115,654012510,Stub
116,655031906,Stub
117,655032578,Stub
118,655390291,Stub
119,655980284,Stub
120,656352211,Stub
121,656386131,Stub
122,656737492,Stub
123,657176628,Start
124,658939122,Stub
125,659315526,Stub
126,660214915,Start
127,660579437,Stub
128,660884852,Start
129,662681733,Start
130,662927043,Start
131,663088604,Stub
132,663166199,Stub
133,663348266,Stub
134,663572469,Stub
135,663617582,Stub
136,663783398,Stub
137,663880497,Stub
138,664532059,Stub
139,664669156,Stub
140,664787336,Stub
141,664793790,Stub
142,664814622,Stub
143,664822251,Stub
144,666029819,Stub
145,666596918,Stub
146,666610075,Start
147,666752677,Stub
148,667194771,Stub
149,667198201,Start
150,667815878,Start
151,667821864,C
152,667873261,Start
153,667906849,Start
154,668091068,Stub
155,668095014,Stub
156,668258382,Stub
157,668449610,Stub
158,668830946,Stub
159,669266906,Stub
160,669301445,Stub
161,669387487,Start
162,669444168,Stub
163,669565720,Stub
164,669571173,Stub
165,669719757,Stub
166,669831602,Stub
167,669833212,Stub
168,669833349,Stub
169,669835390,Stub
170,669841183,Stub
171,669855022,Stub
172,669862709,Stub
173,669869895,Stub
174,669981316,Stub
175,669985109,Stub
176,670134982,Stub
177,670210734,Start
178,670462475,Stub
179,670893206,Stub
180,670917017,Stub
181,670960027,Stub
182,670971940,Stub
183,671016281,Stub
184,671023940,Stub
185,671029717,Stub
186,671032132,Stub
187,671047987,Stub
188,671073599,Stub
189,671122320,Start
190,671189093,Stub
191,671338098,Stub
192,671338216,Stub
193,671455150,Stub
194,671461616,Stub
